Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"28-Feb-12","bosu crunch","1","0 lb","12",""
"28-Feb-12","bosu crunch","2","0 lb","15",""
"28-Feb-12","side bridge","1","0 lb","12",""
"28-Feb-12","side bridge","2","0 lb","12",""
"28-Feb-12","superman","1","0 lb","24",""
"28-Feb-12","superman","2","0 lb","24",""
"28-Feb-12","machine sit up","1","0 lb","12","notch 7"
"28-Feb-12","machine sit up","2","0 lb","12","notch 7"
"28-Feb-12","modified v-sit","1","0 lb","12",""
"28-Feb-12","modified v-sit","2","0 lb","7",""
"28-Feb-12","swiss-ball torso twist","1","15 lb","12",""
"28-Feb-12","swiss-ball torso twist","2","15 lb","12",""
"28-Feb-12","kneeling cable crunch","1","105 lb","12",""
"28-Feb-12","kneeling cable crunch","2","125 lb","12",""
"28-Feb-12","kneeling cable crunch","3","125 lb","12",""

"05-Mar-12","bosu crossover lunge","1","0 lb","12","each side"
"05-Mar-12","bosu crossover lunge","2","0 lb","12","each side"
"05-Mar-12","dumbbell lunge","1","35 lb","12",""
"05-Mar-12","dumbbell lunge","2","35 lb","12","both sides"
"05-Mar-12","barbell squat","1","90 lb","10","going deeper"
"05-Mar-12","barbell squat","2","90 lb","10","going deeper"
"05-Mar-12","barbell squat","3","90 lb","10","going deeper"
"05-Mar-12","machine leg curl","1","60 lb","12",""
"05-Mar-12","machine leg curl","2","72 lb","12",""
"05-Mar-12","machine leg extension","1","60 lb","12",""
"05-Mar-12","machine leg extension","2","60 lb","12",""

"07-Mar-12","dumbbell lateral raise","1","10 lb","12",""
"07-Mar-12","dumbbell lateral raise","2","10 lb","12",""
"07-Mar-12","single-arm pulldown","1","36 lb","10",""
"07-Mar-12","single-arm pulldown","2","36 lb","10",""
"07-Mar-12","dumbbell shoulder press","1","30 lb","12",""
"07-Mar-12","dumbbell shoulder press","2","30 lb","8",""
"07-Mar-12","arnold press","1","25 lb","12",""
"07-Mar-12","arnold press","2","25 lb","12",""
"07-Mar-12","machine rear raise","1","42 lb","12",""
"07-Mar-12","machine rear raise","2","42 lb","12",""
